"HoldeplassID";"lat";"lon";"Jobbes med av";"Status";"Kommentar";
"6_18320142";"66.172554";"14.070861";"";"";"";
"6_18320075";"65.898636";"13.767121";"";"";"";
"6_18150045";"65.81882";"12.040242";"";"";"";
"6_18150046";"65.76232";"11.748053";"";"";"";
"6_18150043";"65.80633";"11.990225";"";"";"";
"14_1401816301";"61.595345";"4.9251127";"";"";"";
"12_04233766";"60.48557";"12.038181";"";"";"";
"14_1401815401";"61.57026";"4.877353";"";"";"";
"14_1401815101";"61.591038";"4.8726645";"";"";"";
"14_1439308201";"61.888844";"5.157926";"";"";"";
"14_1401815701";"61.578533";"4.932189";"";"";"";
"14_1439308401";"61.894974";"5.12879";"";"";"";
"14_1401819001";"61.63813";"4.812866";"";"";"";
"15_0502076502";"60.86265";"10.641619";"";"";"";
"15_0502076501";"60.862724";"10.641732";"";"";"";
"15_0502076402";"60.86132";"10.645675";"";"";"";
"15_0502076401";"60.86141";"10.645716";"";"";"";
"2_19154000";"69.050514";"16.53701";"";"";"";
"5_08290125";"59.438534";"8.596597";"";"";"";
"5_08290095";"59.479797";"8.481736";"";"";"";
"13_20183040";"71.00507";"23.898064";"";"";"";
"2_19436000";"70.10323";"21.594986";"";"";"";
"13_20184004";"70.991776";"24.128101";"";"";"";
"13_20184003";"70.87373";"24.936274";"";"";"";
"13_20184005";"71.08404";"24.060432";"";"";"";
"2_19265147";"68.99516";"17.404318";"";"";"";
"6_18370135";"66.80327";"13.763557";"";"";"";
"6_18650035";"68.286224";"14.206813";"";"";"";
"12_04286269";"61.41582";"12.071161";"";"";"";
"12_04286266";"61.414677";"12.058019";"";"";"";
"12_04286057";"61.191643";"11.892844";"";"";"";
"4_15057024";"63.18156";"7.91497";"";"";"";
"12_04023928";"60.20899";"12.053821";"";"";"";
"6_18480022";"67.696";"15.337662";"";"";"";
"6_18480064";"67.69682";"15.459196";"";"";"";
"6_18480063";"67.66452";"14.773399";"";"";"";
"6_18480066";"67.70576";"15.400335";"";"";"";
"6_18480065";"67.68906";"15.655342";"";"";"";
"6_18480061";"67.72044";"15.272356";"";"";"";
"13_20203719";"70.09446";"25.0359";"";"";"";
"15_0517011801";"61.82741";"9.392212";"";"";"";
"15_0517011802";"61.8275";"9.392288";"";"";"";
"15_0517013201";"61.829456";"9.404541";"";"";"";
"6_18330307";"66.34938";"14.012608";"";"";"";
"15_0515024701";"61.82622";"9.39979";"";"";"";
"6_18330374";"66.32224";"14.816237";"";"";"";
"6_18330262";"66.31986";"13.475566";"";"";"";
"6_18330290";"66.25862";"13.725937";"";"";"";
"6_18330295";"66.27482";"13.77497";"";"";"";
"6_18330296";"66.263275";"13.752657";"";"";"";
"6_18330180";"66.385574";"13.992636";"";"";"";
"6_18330184";"66.32217";"14.834148";"";"";"";
"6_18330066";"66.24145";"14.078952";"";"";"";
"6_18330065";"66.24083";"14.058588";"";"";"";
"6_18330067";"66.24416";"14.073831";"";"";"";
"6_18330069";"66.24332";"14.050215";"";"";"";
"13_20144002";"70.140816";"21.85528";"";"";"";
"13_20144003";"70.25185";"21.784962";"";"";"";
"1_15202744";"62.133244";"6.3016567";"";"";"";
"13_20145003";"70.25184";"21.784506";"";"";"";
"6_18500030";"67.88957";"16.215908";"";"";"";
"6_18500032";"68.010864";"16.338348";"";"";"";
"6_18500034";"68.18823";"16.102184";"";"";"";
"6_18500036";"68.12537";"16.1033";"";"";"";
"6_18500038";"67.81565";"16.51654";"";"";"";
"6_18500037";"67.85761";"16.467634";"";"";"";
